Instanta;Algoritm;Run;Nr_Ordine;ID_Cutie;L_Original;W_Original;H_Original;Orientare;Pos_X;Pos_Y;Pos_Z;Ef_L;Ef_W;Ef_H;Volum_Cutie
1;SA;1;1;1;108;76;30;0;0,0000;0,0000;0,0000;108;76;30;246240,0000
1;SA;1;2;81;92;81;55;1;108,0000;0,0000;0,0000;92;55;81;409860,0000
1;SA;1;3;19;108;76;30;0;200,0000;0,0000;0,0000;108;76;30;246240,0000
1;SA;1;4;11;108;76;30;0;308,0000;0,0000;0,0000;108;76;30;246240,0000
1;SA;1;5;51;110;43;25;0;416,0000;0,0000;0,0000;110;43;25;118250,0000
1;SA;1;6;80;92;81;55;4;526,0000;0,0000;0,0000;55;92;81;409860,0000
1;SA;1;7;61;110;43;25;0;416,0000;43,0000;0,0000;110;43;25;118250,0000
1;SA;1;8;46;110;43;25;0;0,0000;76,0000;0,0000;110;43;25;118250,0000
1;SA;1;9;25;108;76;30;0;110,0000;76,0000;0,0000;108;76;30;246240,0000
1;SA;1;10;62;110;43;25;1;218,0000;76,0000;0,0000;110;25;43;118250,0000
1;SA;1;11;17;108;76;30;0;416,0000;86,0000;0,0000;108;76;30;246240,0000
1;SA;1;12;101;92;81;55;2;328,0000;76,0000;0,0000;81;92;55;409860,0000
1;SA;1;13;13;108;76;30;0;218,0000;101,0000;0,0000;108;76;30;246240,0000
1;SA;1;14;104;92;81;55;4;526,0000;92,0000;0,0000;55;92;81;409860,0000
1;SA;1;15;8;108;76;30;0;0,0000;119,0000;0,0000;108;76;30;246240,0000
1;SA;1;16;106;92;81;55;0;110,0000;152,0000;0,0000;92;81;55;409860,0000
1;SA;1;17;10;108;76;30;0;416,0000;0,0000;25,0000;108;76;30;246240,0000
1;SA;1;18;69;110;43;25;1;416,0000;162,0000;0,0000;110;25;43;118250,0000
1;SA;1;19;71;110;43;25;1;218,0000;177,0000;0,0000;110;25;43;118250,0000
1;SA;1;20;108;92;81;55;3;328,0000;168,0000;0,0000;81;55;92;409860,0000
1;SA;1;21;34;108;76;30;0;0,0000;0,0000;30,0000;108;76;30;246240,0000
1;SA;1;22;94;92;81;55;3;200,0000;0,0000;30,0000;81;55;92;409860,0000
1;SA;1;23;56;110;43;25;1;416,0000;187,0000;0,0000;110;25;43;118250,0000
1;SA;1;24;30;108;76;30;0;281,0000;0,0000;30,0000;108;76;30;246240,0000
1;SA;1;25;50;110;43;25;1;0,0000;195,0000;0,0000;110;25;43;118250,0000
1;SA;1;26;7;108;76;30;0;110,0000;76,0000;30,0000;108;76;30;246240,0000
1;SA;1;27;47;110;43;25;1;218,0000;202,0000;0,0000;110;25;43;118250,0000
1;SA;1;28;57;110;43;25;1;0,0000;76,0000;25,0000;110;25;43;118250,0000
1;SA;1;29;32;108;76;30;0;416,0000;86,0000;30,0000;108;76;30;246240,0000
1;SA;1;30;99;92;81;55;1;218,0000;101,0000;30,0000;92;55;81;409860,0000
1;SA;1;31;54;110;43;25;1;0,0000;119,0000;30,0000;110;25;43;118250,0000
1;SA;1;32;15;108;76;30;0;416,0000;0,0000;55,0000;108;76;30;246240,0000
1;SA;1;33;93;92;81;55;1;416,0000;162,0000;43,0000;92;55;81;409860,0000
